"taxonID","vernacularNames","language"
"alien-fishes:taxon:078319c97e97d2b50c582b9b9b792bad","Sterlet","Dutch"
"alien-fishes:taxon:078319c97e97d2b50c582b9b9b792bad","Sterlet","English"
"alien-fishes:taxon:0b5b04074e4446927e7986999170bf5b","Graskarper","Dutch"
"alien-fishes:taxon:0b5b04074e4446927e7986999170bf5b","Grass carp","English"
"alien-fishes:taxon:0b628dff961ba5fd7acf4499ca4eb922","Amerikaanse hondsvis","Dutch"
"alien-fishes:taxon:0b628dff961ba5fd7acf4499ca4eb922","Eastern mudminnow","English"
"alien-fishes:taxon:1da48686487fe130179a13661ea90545","Blauwbandgrondel","Dutch"
"alien-fishes:taxon:1da48686487fe130179a13661ea90545","Topmouth gudgeon","English"
"alien-fishes:taxon:22e0c0833feaf2c7e7267d9893c5b2ed","(Nijl)tilapia","Dutch"
"alien-fishes:taxon:22e0c0833feaf2c7e7267d9893c5b2ed","Nile tilapia","English"
"alien-fishes:taxon:35edeae691a00ed23ea01f139e8bfa1f","Russische steur","Dutch"
"alien-fishes:taxon:35edeae691a00ed23ea01f139e8bfa1f","Russian sturgeon","English"
"alien-fishes:taxon:5340e4b13d517176f46c1b9cd4711ea1","Grootkopkarper","Dutch"
"alien-fishes:taxon:5340e4b13d517176f46c1b9cd4711ea1","Bighead caro","English"
"alien-fishes:taxon:641be9ef6247d5891954556e5ddabb7d","Amerikaanse meerval","Dutch"
"alien-fishes:taxon:641be9ef6247d5891954556e5ddabb7d","Channel catfish","English"
"alien-fishes:taxon:68deb7328ae700d1fa49933e484e3af8","Zwartbekgrondel","Dutch"
"alien-fishes:taxon:68deb7328ae700d1fa49933e484e3af8","Round goby","English"
"alien-fishes:taxon:69bdf9b7a061aed637c31e075156f71c","Brasemblei","Dutch"
"alien-fishes:taxon:69bdf9b7a061aed637c31e075156f71c","Blue bream","English"
"alien-fishes:taxon:6bcf9c25959c3b2535055ba465ac93b1","Regenboogforel","Dutch"
"alien-fishes:taxon:6bcf9c25959c3b2535055ba465ac93b1","Rainbow trout","English"
"alien-fishes:taxon:6e0fcd4097785a262970615380fdd48d","Bruine Amerikaanse dwergmeerval","Dutch"
"alien-fishes:taxon:6e0fcd4097785a262970615380fdd48d","Brown bullhead","English"
"alien-fishes:taxon:72f50769ed62a241530df9c3c41a0ae8","Zonnebaars","Dutch"
"alien-fishes:taxon:72f50769ed62a241530df9c3c41a0ae8","Pumpkinseed","English"
"alien-fishes:taxon:7864ebfbde9459e7ce7192cc405f9077","Snoekbaars","Dutch"
"alien-fishes:taxon:7864ebfbde9459e7ce7192cc405f9077","Pikeperch","English"
"alien-fishes:taxon:798907ff71a3cd93d9940145812760b1","Pontische stroomgrondel","Dutch"
"alien-fishes:taxon:798907ff71a3cd93d9940145812760b1","Monkey goby","English"
"alien-fishes:taxon:81f3b13dc63b2940665387c85baefae7","Goudvis","Dutch"
"alien-fishes:taxon:81f3b13dc63b2940665387c85baefae7","Goldfish","English"
"alien-fishes:taxon:c937610f85ea8a74f105724c8f198049","Roofblei","Dutch"
"alien-fishes:taxon:c937610f85ea8a74f105724c8f198049","Asp","English"
"alien-fishes:taxon:cb7fd176e74b472a4cccd3d04de4362c","Marmergrondel","Dutch"
"alien-fishes:taxon:cb7fd176e74b472a4cccd3d04de4362c","Tubenose goby","English"
"alien-fishes:taxon:d9d4509efbdd5d427f9ee370d645ac02","Giebel","Dutch"
"alien-fishes:taxon:d9d4509efbdd5d427f9ee370d645ac02","Gibel carp","English"
"alien-fishes:taxon:dd184bae497ac07191f2f84b6c43df8b","Dikkopelrits","Dutch"
"alien-fishes:taxon:dd184bae497ac07191f2f84b6c43df8b","Fathead minnow","English"
"alien-fishes:taxon:dec8ee68b3fae146c056b4972e3e6b83","Siberische steur","Dutch"
"alien-fishes:taxon:dec8ee68b3fae146c056b4972e3e6b83","Siberian sturgeon","English"
"alien-fishes:taxon:e77935e4437424387a49b0e89ade96ef","Zilverkarper","Dutch"
"alien-fishes:taxon:e77935e4437424387a49b0e89ade96ef","Silver carp","English"
"alien-fishes:taxon:ed016d9744c4b866c67ab3bb3bf7a185","Karper","Dutch"
"alien-fishes:taxon:ed016d9744c4b866c67ab3bb3bf7a185","Common carp","English"
"alien-fishes:taxon:f0c5c8c1ae9ec26588b41ead5dfd8261","Kesslers grondel","Dutch"
"alien-fishes:taxon:f0c5c8c1ae9ec26588b41ead5dfd8261","Bighead goby","English"
"alien-fishes:taxon:f6dfb7309bb723fe8e7f34d32dcd2b35","Afrikaanse meerval","Dutch"
"alien-fishes:taxon:f6dfb7309bb723fe8e7f34d32dcd2b35","African catfish","English"
